z k ranker order qthresh algo qid qlen latency docs_scored postings_scored heap_pushes full_sorts partial_sorts bm_skips doc_decodes freq_decodes
counters 10 doct5query random none block_max_wand 1115776 4 253 235 317 235 236 4238 158 368 90
counters 10 doct5query random none block_max_wand 1117099 3 944 522 698 522 523 29930 1830 2525 285
counters 10 doct5query random none block_max_wand 1121402 5 561 711 976 711 712 6823 164 2225 224
counters 10 doct5query random none block_max_wand 1121709 3 4551 4052 4761 4052 4053 170959 42951 8873 1915
counters 10 doct5query random none block_max_wand 1124210 2 29 607 633 607 608 186 11 139 35
counters 10 doct5query random none block_max_wand 1129237 5 2477 484 894 484 485 71775 12917 3866 477
counters 10 doct5query random none block_max_wand 1133167 3 335 236 337 236 237 7738 3811 1527 109
counters 10 doct5query random none block_max_wand 130510 3 116 531 643 531 532 2037 216 755 116
counters 10 doct5query random none block_max_wand 131843 2 26 94 107 94 95 24 0 26 15
counters 10 doct5query random none block_max_wand 146187 5 268 552 849 552 553 4433 124 1291 226
counters 10 doct5query random none block_max_wand 148538 4 350 619 956 619 620 5561 1175 1819 247
counters 10 doct5query random none block_max_wand 156493 3 238 588 791 588 589 3246 272 1373 198
counters 10 doct5query random none block_max_wand 168216 5 176 371 686 371 372 1081 1 597 182
counters 10 doct5query random none block_max_wand 182539 3 283 1184 1407 1184 1185 11435 498 898 251
counters 10 doct5query random none block_max_wand 183378 3 142 925 1103 925 926 2531 347 705 160
counters 10 doct5query random none block_max_wand 19335 3 311 571 740 571 572 8115 38 1585 174
counters 10 doct5query random none block_max_wand 207786 5 1435 393 726 393 394 33959 3424 4510 333
counters 10 doct5query random none block_max_wand 264014 5 1064 402 848 402 403 23472 101 3344 403
counters 10 doct5query random none block_max_wand 359349 4 175 619 765 619 620 1921 759 502 118
counters 10 doct5query random none block_max_wand 405717 4 152 314 456 314 315 4500 23 551 120
counters 10 doct5query random none block_max_wand 443396 3 512 763 914 763 764 14205 181 2933 186
counters 10 doct5query random none block_max_wand 451602 4 1147 593 826 593 594 31598 402 4963 290
counters 10 doct5query random none block_max_wand 47923 5 438 351 607 351 352 10217 86 1533 186
counters 10 doct5query random none block_max_wand 489204 4 1052 532 823 532 533 33926 166 4134 293
counters 10 doct5query random none block_max_wand 490595 3 330 582 709 582 583 8454 190 2083 147
counters 10 doct5query random none block_max_wand 527433 5 612 855 1250 855 856 10060 37 3608 273
counters 10 doct5query random none block_max_wand 573724 4 3221 564 858 564 565 111933 69912 3314 353
counters 10 doct5query random none block_max_wand 833860 5 2146 782 1359 782 783 51225 3242 6466 575
counters 10 doct5query random none block_max_wand 855410 3 158 130 167 130 131 79 0 15 13
counters 10 doct5query random none block_max_wand 87181 4 226 422 706 422 423 5156 145 969 223
counters 10 doct5query random none block_max_wand 87452 3 974 456 590 456 457 41988 116 3618 179
counters 10 doct5query random none block_max_wand 915593 8 1010 516 1273 516 517 11626 150 2712 539
counters 10 doct5query random none block_max_wand 962179 4 483 379 572 379 380 10188 52 2481 177
counters 10 doct5query random none maxscore 1037798 3 219 18520 18671 203 0 0 0 601 274
counters 10 doct5query random none maxscore 104861 4 371 28620 29764 329 0 0 0 888 645
counters 10 doct5query random none maxscore 1063750 5 118 8495 9021 160 0 0 0 850 485
counters 10 doct5query random none maxscore 1103812 5 247 9937 11000 221 0 0 0 1546 817
counters 10 doct5query random none maxscore 1106007 2 79 5004 5129 2808 0 0 0 388 164
counters 10 doct5query random none maxscore 1110199 4 144 6128 7031 112 0 0 0 650 349
counters 10 doct5query random none maxscore 1112341 5 466 31346 32057 120 0 0 0 2951 651
counters 10 doct5query random none maxscore 1113437 4 432 51786 52053 111 0 0 0 1703 604
counters 10 doct5query random none maxscore 1114646 3 76 12704 12795 86 0 0 0 210 184
counters 10 doct5query random none maxscore 1114819 5 372 21833 23018 110 0 0 0 1335 775
counters 10 doct5query random none maxscore 1115776 4 51 2350 2431 74 0 0 0 205 97
counters 10 doct5query random none maxscore 1117099 3 251 16830 17019 99 0 0 0 1709 301
counters 10 doct5query random none maxscore 1121402 5 93 3303 3581 131 0 0 0 540 239
counters 10 doct5query random none maxscore 1121709 3 1083 142886 143931 117 0 0 0 3304 1868
counters 10 doct5query random none maxscore 1124210 2 22 1076 1102 1007 0 0 0 72 36
counters 10 doct5query random none maxscore 1129237 5 597 33799 36337 109 0 0 0 2260 1136
counters 10 doct5query random none maxscore 1133167 3 78 5410 5665 110 0 0 0 706 275
counters 10 doct5query random none maxscore 130510 3 24 1374 1490 216 0 0 0 204 122
counters 10 doct5query random none maxscore 131843 2 6 95 107 91 0 0 0 23 15
counters 10 doct5query random none maxscore 146187 5 58 2103 2440 212 0 0 0 517 256
counters 10 doct5query random none maxscore 148538 4 51 2706 3223 187 0 0 0 399 272
counters 10 doct5query random none maxscore 156493 3 69 2046 2314 107 0 0 0 694 262
counters 10 doct5query random none maxscore 168216 5 35 478 800 114 0 0 0 221 175
counters 10 doct5query random none maxscore 182539 3 156 18209 18438 1980 0 0 0 585 270
counters 10 doct5query random none maxscore 183378 3 35 2149 2322 211 0 0 0 309 157
counters 10 doct5query random none maxscore 19335 3 96 3989 4172 252 0 0 0 857 188
counters 10 doct5query random none maxscore 207786 5 371 13105 13661 144 0 0 0 2713 532
counters 10 doct5query random none maxscore 264014 5 188 8709 9313 126 0 0 0 1032 472
counters 10 doct5query random none maxscore 359349 4 50 4127 4281 116 0 0 0 262 150
counters 10 doct5query random none maxscore 405717 4 48 1943 2194 514 0 0 0 369 190
counters 10 doct5query random none maxscore 443396 3 151 6942 7141 315 0 0 0 1469 228
counters 10 doct5query random none maxscore 451602 4 214 9868 10297 424 0 0 0 1100 402
counters 10 doct5query random none maxscore 47923 5 76 3994 4381 250 0 0 0 331 189
counters 10 doct5query random none maxscore 489204 4 302 9501 11544 178 0 0 0 2821 1360
counters 10 doct5query random none maxscore 490595 3 66 3684 3893 433 0 0 0 638 217
counters 10 doct5query random none maxscore 527433 5 110 3873 4841 468 0 0 0 768 413
counters 10 doct5query random none maxscore 573724 4 910 108704 110080 111 0 0 0 3344 1760
counters 10 doct5query random none maxscore 833860 5 428 22391 23363 132 0 0 0 2698 890
counters 10 doct5query random none maxscore 855410 3 23 133 168 39 0 0 0 15 13
counters 10 doct5query random none maxscore 87181 4 41 2139 2467 278 0 0 0 291 225
counters 10 doct5query random none maxscore 87452 3 162 8923 9115 456 0 0 0 814 252
counters 10 doct5query random none maxscore 915593 8 159 3670 4875 117 0 0 0 911 614
counters 10 doct5query random none maxscore 962179 4 76 2645 3080 175 0 0 0 731 344
counters 10 deepimpact random none wand 1037798 3 3086 72655 108274 72655 72656 68671 0 20262 17996
counters 10 deepimpact random none wand 104861 4 1487 7388 14937 7388 7389 62194 0 3412 2486
counters 10 deepimpact random none wand 1063750 4 11818 153673 279266 153673 153674 540227 0 30551 26060
counters 10 deepimpact random none wand 1103812 5 15698 222974 434880 222974 222975 637686 0 26276 25195
counters 10 deepimpact random none wand 1106007 2 264 12626 13067 12626 12627 4285 0 2156 526
counters 10 deepimpact random none wand 1110199 4 1494 10045 19722 10045 10046 66364 0 7049 3806
counters 10 deepimpact random none wand 1112341 5 24344 314348 668045 314348 314349 912370 0 42832 39385
counters 10 deepimpact random none wand 1113437 4 5196 79908 158586 79908 79909 160034 0 24713 23657
counters 10 deepimpact random none wand 1114646 3 2698 42774 79443 42774 42775 55728 0 25109 22109
counters 10 deepimpact random none wand 1114819 5 4328 15638 35395 15638 15639 182028 0 10925 8936
counters 10 deepimpact random none wand 1115776 4 1270 12239 21295 12239 12240 21997 0 13044 8170
counters 10 deepimpact random none wand 1117099 3 4122 49622 94859 49622 49623 107865 0 32833 26574
counters 10 deepimpact random none wand 1121402 5 24690 539696 1072581 539696 539697 837142 0 62775 56182
counters 10 deepimpact random none wand 1121709 3 8200 193092 338937 193092 193093 307445 0 30430 30275
counters 10 deepimpact random none wand 1124210 2 1093 134652 134688 134652 134653 95 0 1146 1078
counters 10 deepimpact random none wand 1129237 5 9403 33702 80318 33702 33703 353573 0 25207 15966
counters 10 deepimpact random none wand 1133167 3 1040 11830 21269 11830 11831 32489 0 7105 4604
counters 10 deepimpact random none wand 130510 3 806 15553 20645 15553 15554 18287 0 7757 4281
counters 10 deepimpact random none wand 131843 2 7163 888351 888363 888351 888352 8 0 6951 6947
counters 10 deepimpact random none wand 146187 5 12245 609946 1231126 609946 609947 229423 0 22632 20362
counters 10 deepimpact random none wand 148538 4 2836 91417 186764 91417 91418 59617 0 15043 8938
counters 10 deepimpact random none wand 156493 2 103 3184 3480 3184 3185 2468 0 983 303
counters 10 deepimpact random none wand 168216 4 115 2561 3751 2561 2562 2249 0 836 659
counters 10 deepimpact random none wand 182539 3 5044 40390 73094 40390 40391 363811 0 6013 6013
counters 10 deepimpact random none wand 183378 3 2454 68450 114110 68450 68451 75016 0 12441 12237
counters 10 deepimpact random none wand 19335 3 3010 38185 67350 38185 38186 163514 0 12817 11797
counters 10 deepimpact random none wand 207786 4 3164 41532 76802 41532 41533 71907 0 25138 20620
counters 10 deepimpact random none wand 264014 5 15207 116648 318566 116648 116649 629514 0 44010 42881
counters 10 deepimpact random none wand 359349 4 5493 138691 268092 138691 138692 238190 0 12259 11488
counters 10 deepimpact random none wand 405717 4 1100 12292 14982 12292 12293 56062 0 3552 1716
counters 10 deepimpact random none wand 443396 3 2780 48726 73817 48726 48727 132333 0 12656 11267
counters 10 deepimpact random none wand 451602 5 32394 654407 1291737 654407 654408 1399489 0 44722 41338
counters 10 deepimpact random none wand 47923 5 541 7881 8920 7881 7882 13590 0 2866 660
counters 10 deepimpact random none wand 489204 4 4982 18804 47654 18804 18805 294595 0 8463 8067
counters 10 deepimpact random none wand 490595 3 2265 21042 35929 21042 21043 128548 0 10899 8314
counters 10 deepimpact random none wand 527433 4 248 2968 4711 2968 2969 6584 0 1708 382
counters 10 deepimpact random none wand 573724 4 3372 20500 45243 20500 20501 180542 0 13382 10013
counters 10 deepimpact random none wand 833860 5 24047 197057 518888 197057 197058 889861 0 50156 49083
counters 10 deepimpact random none wand 855410 3 45299 1789132 3088553 1789132 1789133 1166582 0 50323 50323
counters 10 deepimpact random none wand 87181 4 625 3791 6847 3791 3792 27564 0 3320 1548
counters 10 deepimpact random none wand 87452 3 1807 7148 9046 7148 7149 136711 0 5315 1928
counters 10 deepimpact random none wand 915593 7 21975 116265 317247 116265 116266 828206 0 56948 46041
counters 10 deepimpact random none wand 962179 4 1913 12849 27510 12849 12850 93645 0 7762 6684
counters 10 deepimpact random none block_max_wand 1037798 3 1407 2117 2573 2117 2118 47855 43696 2622 537
counters 10 deepimpact random none block_max_wand 104861 4 1892 1300 1867 1300 1301 61555 24222 3240 580
counters 10 deepimpact random none block_max_wand 1063750 4 5235 1606 2459 1606 1607 162757 155596 26399 1109
counters 10 deepimpact random none block_max_wand 1103812 5 9778 4762 7096 4762 4763 291436 252264 25799 3591
counters 10 deepimpact random none block_max_wand 1106007 2 191 950 1037 950 951 4243 1047 1690 115
counters 10 deepimpact random none block_max_wand 1110199 4 1332 1714 2179 1714 1715 36457 27396 3355 378
counters 10 deepimpact random none block_max_wand 1112341 5 15441 4678 6280 4678 4679 519198 476769 13870 3180
counters 10 deepimpact random none block_max_wand 1113437 4 2980 2696 3076 2696 2697 107472 100021 3843 737
counters 10 deepimpact random none block_max_wand 1114646 3 1125 3854 4170 3854 3855 40117 35995 2751 373
counters 10 deepimpact random none block_max_wand 1114819 5 3186 1146 1628 1146 1147 96290 93262 2116 529
counters 10 deepimpact random none block_max_wand 1115776 4 514 1285 1419 1285 1286 15537 14465 1008 153
counters 10 deepimpact random none block_max_wand 1117099 3 1679 1764 1979 1764 1765 63044 60909 1878 311
counters 10 deepimpact random none block_max_wand 1121402 5 4426 3011 4566 3011 3012 154161 150543 9525 1307
counters 10 deepimpact random none block_max_wand 1121709 3 2442 6436 6879 6436 6437 99956 90252 3609 593
counters 10 deepimpact random none block_max_wand 1124210 2 159 1815 1845 1815 1816 3455 3360 1146 67
counters 10 deepimpact random none block_max_wand 1129237 5 7217 2349 3406 2349 2350 222708 200254 6507 1267
counters 10 deepimpact random none block_max_wand 1133167 3 756 1680 2244 1680 1681 20382 11336 3153 512
counters 10 deepimpact random none block_max_wand 130510 3 318 885 1070 885 886 11339 10027 909 188
counters 10 deepimpact random none block_max_wand 131843 2 664 2165 2177 2165 2166 22177 22169 6951 69
counters 10 deepimpact random none block_max_wand 146187 5 2847 3331 4645 3331 3332 97630 93448 7111 1646
